,path,label,label_int
0,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000000_224resized.png,cheetah,0
1,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000001_224resized.png,cheetah,0
2,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000002_224resized.png,cheetah,0
3,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000003_224resized.png,cheetah,0
4,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000004_224resized.png,cheetah,0
5,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000005_224resized.png,cheetah,0
6,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000007_224resized.png,cheetah,0
7,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000008_224resized.png,cheetah,0
8,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000009_224resized.png,cheetah,0
9,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000010_224resized.png,cheetah,0
10,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000011_224resized.png,cheetah,0
11,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000012_224resized.png,cheetah,0
12,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000014_224resized.png,cheetah,0
13,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000015_224resized.png,cheetah,0
14,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000017_224resized.png,cheetah,0
15,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000018_224resized.png,cheetah,0
16,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000019_224resized.png,cheetah,0
17,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000020_224resized.png,cheetah,0
18,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000021_224resized.png,cheetah,0
19,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000022_224resized.png,cheetah,0
20,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000023_224resized.png,cheetah,0
21,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000025_224resized.png,cheetah,0
22,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000027_224resized.png,cheetah,0
23,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000028_224resized.png,cheetah,0
24,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000029_224resized.png,cheetah,0
25,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000030_224resized.png,cheetah,0
26,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000031_224resized.png,cheetah,0
27,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000032_224resized.png,cheetah,0
28,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000033_224resized.png,cheetah,0
29,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000034_224resized.png,cheetah,0
30,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000035_224resized.png,cheetah,0
31,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000036_224resized.png,cheetah,0
32,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000037_224resized.png,cheetah,0
33,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000038_224resized.png,cheetah,0
34,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000039_224resized.png,cheetah,0
35,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000040_224resized.png,cheetah,0
36,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000041_224resized.png,cheetah,0
37,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000042_224resized.png,cheetah,0
38,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000043_224resized.png,cheetah,0
39,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000044_224resized.png,cheetah,0
40,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000049_224resized.png,cheetah,0
41,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000050_224resized.png,cheetah,0
42,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000051_224resized.png,cheetah,0
43,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000052_224resized.png,cheetah,0
44,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000054_224resized.png,cheetah,0
45,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000055_224resized.png,cheetah,0
46,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000056_224resized.png,cheetah,0
47,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000057_224resized.png,cheetah,0
48,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000058_224resized.png,cheetah,0
49,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000059_224resized.png,cheetah,0
50,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000060_224resized.png,cheetah,0
51,../DataLoader/Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000061_224resized.png,cheetah,0
