,path,label_int
0,../Dataset/Data\fox-resize-224\fox-resize-224\00000109_224resized.png,1
1,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000110_224resized.png,2
2,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000111_224resized.png,0
3,../Dataset/Data\lion-resize-224\lion-resize-224\00000468_224resized.png,3
4,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000393_224resized.png,2
5,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000548_224resized.png,2
6,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000305_224resized.png,2
7,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000147_224resized.png,2
8,../Dataset/Data\fox-resize-224\fox-resize-224\00000406_224resized.png,1
9,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000567_224resized.png,0
10,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000021_224resized.png,5
11,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000186_224resized.png,0
12,../Dataset/Data\fox-resize-224\fox-resize-224\00000110_224resized.png,1
13,../Dataset/Data\lion-resize-224\lion-resize-224\00000288_224resized.png,3
14,../Dataset/Data\lion-resize-224\lion-resize-224\00000166_224resized.png,3
15,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000247_224resized.png,2
16,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000419_224resized.png,5
17,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000359_224resized.png,0
18,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000160_224resized.png,4
19,../Dataset/Data\lion-resize-224\lion-resize-224\00000003_224resized.png,3
20,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000150_224resized.png,0
21,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000258_224resized.png,0
22,../Dataset/Data\lion-resize-224\lion-resize-224\00000050_224resized.png,3
23,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000371_224resized.png,2
24,../Dataset/Data\fox-resize-224\fox-resize-224\00000412_224resized.png,1
25,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000015_224resized.png,0
26,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000436_224resized.png,0
27,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000310_224resized.png,0
28,../Dataset/Data\fox-resize-224\fox-resize-224\00000128_224resized.png,1
29,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000070_224resized.png,4
30,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000127_224resized.png,5
31,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000452_224resized.png,5
